Stock Information for Ticker: NFLX
High         3.358255e+02
Low          3.258369e+02
Open         3.309005e+02
Close        3.310286e+02
Volume       7.682605e+06
Adj Close    3.310286e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    335.825508   325.836892   330.900469   331.028585  7.682605e+06   331.028585
std     136.380696   132.374693   134.375118   134.432008  5.080908e+06   134.432008
min      95.379997    93.260002    95.040001    94.559998  1.144000e+06    94.559998
25%     198.597496   194.365002   196.597500   196.072502  4.588450e+06   196.072502
50%     341.535004   330.909988   336.139999   336.764999  6.210600e+06   336.764999
75%     448.637497   432.650009   441.955002   440.182495  9.149925e+06   440.182495
max     613.849976   593.989990   594.690002   606.710022  5.841040e+07   606.710022


             ds       trend  yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
0    2016-09-08  114.053162   95.185318   142.847611   114.053162   114.053162        5.450679              5.450679              5.450679  3.327020      3.327020      3.327020   2.123660      2.123660      2.123660                   0.0                         0.0                         0.0  119.503841
1    2016-09-09  114.177832   92.921276   141.253570   114.177832   114.177832        3.253242              3.253242              3.253242  2.464035      2.464035      2.464035   0.789207      0.789207      0.789207                   0.0                         0.0                         0.0  117.431074
2    2016-09-12  114.551844   90.175568   135.617813   114.551844   114.551844       -0.916283             -0.916283             -0.916283  2.452267      2.452267      2.452267  -3.368550     -3.368550     -3.368550                   0.0                         0.0                         0.0  113.635561
3    2016-09-13  114.676515   91.239138   137.773999   114.676515   114.676515       -0.699358             -0.699358             -0.699358  4.021108      4.021108      4.021108  -4.720466     -4.720466     -4.720466                   0.0                         0.0                         0.0  113.977157
4    2016-09-14  114.801186   87.945882   136.429033   114.801186   114.801186       -2.961626             -2.961626             -2.961626  3.052514      3.052514      3.052514  -6.014140     -6.014140     -6.014140                   0.0                         0.0                         0.0  111.839560
5    2016-09-15  114.925856   87.388386   134.625575   114.925856   114.925856       -3.899825             -3.899825             -3.899825  3.327020      3.327020      3.327020  -7.226844     -7.226844     -7.226844                   0.0                         0.0                         0.0  111.026032
6    2016-09-16  115.050527   86.410417   134.262107   115.050527   115.050527       -5.873852             -5.873852             -5.873852  2.464035      2.464035      2.464035  -8.337887     -8.337887     -8.337887                   0.0                         0.0                         0.0  109.176675
7    2016-09-19  115.424539   83.841625   130.677219   115.424539   115.424539       -8.440989             -8.440989             -8.440989  2.452267      2.452267      2.452267 -10.893256    -10.893256    -10.893256                   0.0                         0.0                         0.0  106.983550
8    2016-09-20  115.549209   83.693516   131.658389   115.549209   115.549209       -7.424082             -7.424082             -7.424082  4.021108      4.021108      4.021108 -11.445190    -11.445190    -11.445190                   0.0                         0.0                         0.0  108.125128
9    2016-09-21  115.673880   84.132681   129.894557   115.673880   115.673880       -8.782847             -8.782847             -8.782847  3.052514      3.052514      3.052514 -11.835362    -11.835362    -11.835362                   0.0                         0.0                         0.0  106.891033
10   2016-09-22  115.798551   84.776458   131.450688   115.798551   115.798551       -8.734991             -8.734991             -8.734991  3.327020      3.327020      3.327020 -12.062011    -12.062011    -12.062011                   0.0                         0.0                         0.0  107.063560
11   2016-09-23  115.923221   81.882988   129.990972   115.923221   115.923221       -9.662924             -9.662924             -9.662924  2.464035      2.464035      2.464035 -12.126959    -12.126959    -12.126959                   0.0                         0.0                         0.0  106.260297
12   2016-09-26  116.297233   82.866944   131.437944   116.297233   116.297233       -8.968777             -8.968777             -8.968777  2.452267      2.452267      2.452267 -11.421044    -11.421044    -11.421044                   0.0                         0.0                         0.0  107.328456
13   2016-09-27  116.421904   86.291585   132.678413   116.421904   116.421904       -6.903059             -6.903059             -6.903059  4.021108      4.021108      4.021108 -10.924167    -10.924167    -10.924167                   0.0                         0.0                         0.0  109.518845
14   2016-09-28  116.546575   85.995553   132.619608   116.546575   116.546575       -7.270012             -7.270012             -7.270012  3.052514      3.052514      3.052514 -10.322527    -10.322527    -10.322527                   0.0                         0.0                         0.0  109.276562
15   2016-09-29  116.671245   87.254378   133.030632   116.671245   116.671245       -6.307918             -6.307918             -6.307918  3.327020      3.327020      3.327020  -9.634938     -9.634938     -9.634938                   0.0                         0.0                         0.0  110.363327
16   2016-09-30  116.795916   86.332943   134.270319   116.795916   116.795916       -6.417689             -6.417689             -6.417689  2.464035      2.464035      2.464035  -8.881724     -8.881724     -8.881724                   0.0                         0.0                         0.0  110.378227
17   2016-10-03  117.169928   89.613270   137.807669   117.169928   117.169928       -3.991709             -3.991709             -3.991709  2.452267      2.452267      2.452267  -6.443976     -6.443976     -6.443976                   0.0                         0.0                         0.0  113.178219
18   2016-10-04  117.294598   92.252538   141.668405   117.294598   117.294598       -1.623430             -1.623430             -1.623430  4.021108      4.021108      4.021108  -5.644538     -5.644538     -5.644538                   0.0                         0.0                         0.0  115.671169
19   2016-10-05  117.419269   93.284654   137.914649   117.419269   117.419269       -1.834020             -1.834020             -1.834020  3.052514      3.052514      3.052514  -4.886535     -4.886535     -4.886535                   0.0                         0.0                         0.0  115.585249
20   2016-10-06  117.543940   94.209587   139.962112   117.543940   117.543940       -0.862065             -0.862065             -0.862065  3.327020      3.327020      3.327020  -4.189085     -4.189085     -4.189085                   0.0                         0.0                         0.0  116.681874
21   2016-10-07  117.668610   92.052289   139.321516   117.668610   117.668610       -1.105498             -1.105498             -1.105498  2.464035      2.464035      2.464035  -3.569533     -3.569533     -3.569533                   0.0                         0.0                         0.0  116.563112
22   2016-10-10  118.042622   93.325775   142.793736   118.042622   118.042622        0.133996              0.133996              0.133996  2.452267      2.452267      2.452267  -2.318271     -2.318271     -2.318271                   0.0                         0.0                         0.0  118.176618
23   2016-10-11  118.167293   95.842166   141.840879   118.167293   118.167293        1.883640              1.883640              1.883640  4.021108      4.021108      4.021108  -2.137468     -2.137468     -2.137468                   0.0                         0.0                         0.0  120.050933
24   2016-10-12  118.291964   94.731060   142.063738   118.291964   118.291964        0.967758              0.967758              0.967758  3.052514      3.052514      3.052514  -2.084756     -2.084756     -2.084756                   0.0                         0.0                         0.0  119.259721
25   2016-10-13  118.416634   96.301278   142.596156   118.416634   118.416634        1.165216              1.165216              1.165216  3.327020      3.327020      3.327020  -2.161803     -2.161803     -2.161803                   0.0                         0.0                         0.0  119.581850
26   2016-10-14  118.541305   94.980743   141.206146   118.541305   118.541305        0.096578              0.096578              0.096578  2.464035      2.464035      2.464035  -2.367457     -2.367457     -2.367457                   0.0                         0.0                         0.0  118.637883
27   2016-10-17  118.915317   93.932307   140.276288   118.915317   118.915317       -1.252972             -1.252972             -1.252972  2.452267      2.452267      2.452267  -3.705239     -3.705239     -3.705239                   0.0                         0.0                         0.0  117.662344
