Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
0    2016-09-12  120.610162  114.724837  142.288654   120.610162   120.610162        7.778612              7.778612              7.778612 -1.796236     -1.796236     -1.796236   9.574847      9.574847      9.574847                   0.0                         0.0                         0.0  128.388774
1    2016-09-13  120.734154  114.153923  142.701668   120.734154   120.734154        7.457136              7.457136              7.457136 -1.300205     -1.300205     -1.300205   8.757341      8.757341      8.757341                   0.0                         0.0                         0.0  128.191290
2    2016-09-14  120.858146  113.489516  141.119594   120.858146   120.858146        6.577446              6.577446              6.577446 -1.362021     -1.362021     -1.362021   7.939467      7.939467      7.939467                   0.0                         0.0                         0.0  127.435592
3    2016-09-15  120.982138  113.552138  140.606090   120.982138   120.982138        5.727029              5.727029              5.727029 -1.404170     -1.404170     -1.404170   7.131200      7.131200      7.131200                   0.0                         0.0                         0.0  126.709168
4    2016-09-16  121.106130  112.931070  139.399962   121.106130   121.106130        4.901712              4.901712              4.901712 -1.440414     -1.440414     -1.440414   6.342126      6.342126      6.342126                   0.0                         0.0                         0.0  126.007843
5    2016-09-19  121.478106  110.106374  139.268571   121.478106   121.478106        2.380502              2.380502              2.380502 -1.796236     -1.796236     -1.796236   4.176737      4.176737      4.176737                   0.0                         0.0                         0.0  123.858608
6    2016-09-20  121.602098  109.987337  136.874925   121.602098   121.602098        2.246890              2.246890              2.246890 -1.300205     -1.300205     -1.300205   3.547095      3.547095      3.547095                   0.0                         0.0                         0.0  123.848988
7    2016-09-21  121.726090  109.155532  137.583221   121.726090   121.726090        1.611556              1.611556              1.611556 -1.362021     -1.362021     -1.362021   2.973576      2.973576      2.973576                   0.0                         0.0                         0.0  123.337646
8    2016-09-22  121.850082  109.474367  136.967108   121.850082   121.850082        1.056438              1.056438              1.056438 -1.404170     -1.404170     -1.404170   2.460608      2.460608      2.460608                   0.0                         0.0                         0.0  122.906520
9    2016-09-23  121.974074  108.576377  136.002704   121.974074   121.974074        0.571069              0.571069              0.571069 -1.440414     -1.440414     -1.440414   2.011482      2.011482      2.011482                   0.0                         0.0                         0.0  122.545143
10   2016-09-26  122.346050  107.693009  135.217097   122.346050   122.346050       -0.733363             -0.733363             -0.733363 -1.796236     -1.796236     -1.796236   1.062872      1.062872      1.062872                   0.0                         0.0                         0.0  121.612687
11   2016-09-27  122.470042  108.769628  135.524078   122.470042   122.470042       -0.420954             -0.420954             -0.420954 -1.300205     -1.300205     -1.300205   0.879251      0.879251      0.879251                   0.0                         0.0                         0.0  122.049088
12   2016-09-28  122.594034  106.910221  135.046832   122.594034   122.594034       -0.602885             -0.602885             -0.602885 -1.362021     -1.362021     -1.362021   0.759136      0.759136      0.759136                   0.0                         0.0                         0.0  121.991149
13   2016-09-29  122.718026  107.897933  135.881431   122.718026   122.718026       -0.704728             -0.704728             -0.704728 -1.404170     -1.404170     -1.404170   0.699442      0.699442      0.699442                   0.0                         0.0                         0.0  122.013298
14   2016-09-30  122.842018  108.442401  135.590027   122.842018   122.842018       -0.744135             -0.744135             -0.744135 -1.440414     -1.440414     -1.440414   0.696278      0.696278      0.696278                   0.0                         0.0                         0.0  122.097883
15   2016-10-03  123.213994  108.226133  136.294790   123.213994   123.213994       -0.818967             -0.818967             -0.818967 -1.796236     -1.796236     -1.796236   0.977268      0.977268      0.977268                   0.0                         0.0                         0.0  122.395027
16   2016-10-04  123.337986  108.763526  136.408641   123.337986   123.337986       -0.151081             -0.151081             -0.151081 -1.300205     -1.300205     -1.300205   1.149124      1.149124      1.149124                   0.0                         0.0                         0.0  123.186905
17   2016-10-05  123.461978  109.815445  138.691377   123.461978   123.461978       -0.012027             -0.012027             -0.012027 -1.362021     -1.362021     -1.362021   1.349993      1.349993      1.349993                   0.0                         0.0                         0.0  123.449951
18   2016-10-06  123.585970  110.693094  137.743375   123.585970   123.585970        0.169456              0.169456              0.169456 -1.404170     -1.404170     -1.404170   1.573626      1.573626      1.573626                   0.0                         0.0                         0.0  123.755426
19   2016-10-07  123.709962  111.048877  138.226082   123.709962   123.709962        0.373390              0.373390              0.373390 -1.440414     -1.440414     -1.440414   1.813804      1.813804      1.813804                   0.0                         0.0                         0.0  124.083352
20   2016-10-10  124.081938  110.821709  138.502890   124.081938   124.081938        0.777814              0.777814              0.777814 -1.796236     -1.796236     -1.796236   2.574049      2.574049      2.574049                   0.0                         0.0                         0.0  124.859752
21   2016-10-11  124.205930  112.909103  139.199986   124.205930   124.205930        1.522154              1.522154              1.522154 -1.300205     -1.300205     -1.300205   2.822359      2.822359      2.822359                   0.0                         0.0                         0.0  125.728085
22   2016-10-12  124.329922  111.421662  139.662724   124.329922   124.329922        1.697934              1.697934              1.697934 -1.362021     -1.362021     -1.362021   3.059955      3.059955      3.059955                   0.0                         0.0                         0.0  126.027856
23   2016-10-13  124.453914  112.953514  140.458583   124.453914   124.453914        1.878489              1.878489              1.878489 -1.404170     -1.404170     -1.404170   3.282659      3.282659      3.282659                   0.0                         0.0                         0.0  126.332403
24   2016-10-14  124.577906  112.373057  140.028175   124.577906   124.577906        2.046419              2.046419              2.046419 -1.440414     -1.440414     -1.440414   3.486832      3.486832      3.486832                   0.0                         0.0                         0.0  126.624325
