Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
0    2016-09-09    22.489348   -50.664458    63.300889    22.489348    22.489348      -15.635545            -15.635545            -15.635545 -4.229679     -4.229679     -4.229679 -11.405866    -11.405866    -11.405866                   0.0                         0.0                         0.0     6.853803
1    2016-09-12    23.026799   -46.493336    67.796435    23.026799    23.026799      -11.781824            -11.781824            -11.781824 -2.244307     -2.244307     -2.244307  -9.537517     -9.537517     -9.537517                   0.0                         0.0                         0.0    11.244975
2    2016-09-13    23.205949   -47.671433    70.444180    23.205949    23.205949      -11.845266            -11.845266            -11.845266 -2.851961     -2.851961     -2.851961  -8.993306     -8.993306     -8.993306                   0.0                         0.0                         0.0    11.360683
3    2016-09-14    23.385099   -48.584099    75.480194    23.385099    23.385099      -11.787195            -11.787195            -11.787195 -3.286707     -3.286707     -3.286707  -8.500488     -8.500488     -8.500488                   0.0                         0.0                         0.0    11.597905
4    2016-09-15    23.564250   -46.894060    71.237922    23.564250    23.564250      -11.733700            -11.733700            -11.733700 -3.668538     -3.668538     -3.668538  -8.065161     -8.065161     -8.065161                   0.0                         0.0                         0.0    11.830550
5    2016-09-16    23.743400   -48.004531    65.474832    23.743400    23.743400      -11.922025            -11.922025            -11.922025 -4.229679     -4.229679     -4.229679  -7.692346     -7.692346     -7.692346                   0.0                         0.0                         0.0    11.821375
6    2016-09-19    24.280851   -40.316244    72.606555    24.280851    24.280851       -9.223849             -9.223849             -9.223849 -2.244307     -2.244307     -2.244307  -6.979542     -6.979542     -6.979542                   0.0                         0.0                         0.0    15.057002
7    2016-09-20    24.460001   -40.550867    74.215570    24.460001    24.460001       -9.731993             -9.731993             -9.731993 -2.851961     -2.851961     -2.851961  -6.880032     -6.880032     -6.880032                   0.0                         0.0                         0.0    14.728009
8    2016-09-21    24.639152   -43.730576    73.125230    24.639152    24.639152      -10.133884            -10.133884            -10.133884 -3.286707     -3.286707     -3.286707  -6.847177     -6.847177     -6.847177                   0.0                         0.0                         0.0    14.505268
9    2016-09-22    24.818302   -46.115832    68.646275    24.818302    24.818302      -10.545814            -10.545814            -10.545814 -3.668538     -3.668538     -3.668538  -6.877276     -6.877276     -6.877276                   0.0                         0.0                         0.0    14.272488
